"element","group","type","dims","unit","label","read_by_stan","observed_min","observed_median","observed_max","file"
"lag3_heat","weather","double","377","degrees C","Mean daily maximum 2 m temperature (ERA5) in the month 3 months before the period.","no","24.84","27.47","30.22","data/data_kesi2025-09-22.RDS"
"lag4_heat","weather","double","377","degrees C","Mean daily maximum 2 m temperature (ERA5) in the month 4 months before the period.","no","24.84","27.46","30.22","data/data_kesi2025-09-22.RDS"
"lag5_heat","weather","double","377","degrees C","Mean daily maximum 2 m temperature (ERA5) in the month 5 months before the period.","no","24.84","27.45","30.22","data/data_kesi2025-09-22.RDS"
"lag6_heat","weather","double","377","degrees C","Mean daily maximum 2 m temperature (ERA5) in the month 6 months before the period.","no","24.84","27.42","30.22","data/data_kesi2025-09-22.RDS"
"kesi","outcome","integer","377","count","Arrests for illegal forestry recorded by the Zanzibar Department of Forestry on Pemba in each two-week period.","yes","0","2","12","data/data_kesi2025-09-22.RDS"
"year","time","integer","377","year index","Year of each timeline position (1 = 2011).","yes","1","8","15","data/data_kesi2025-09-22.RDS"
"month","time","integer","377","month","Calendar month of each timeline position.","no","1","6","12","data/data_kesi2025-09-22.RDS"
"obs_ind","index","integer","87","timeline index","Timeline positions (1..N_cases) of the periods with observed earnings.","yes","291","334","377","data/data_kesi2025-09-22.RDS"
"est_ind","index","integer","290","timeline index","Timeline positions of the periods whose earnings are imputed.","yes","1","145.5","290","data/data_kesi2025-09-22.RDS"
"cases_ind","index","integer","87","timeline index","Copy of obs_ind; not read by any Stan program.","no","291","334","377","data/data_kesi2025-09-22.RDS"
"eco_ind","index","integer","87","timeline index","Timeline positions of the economic observations; equals obs_ind.","yes","291","334","377","data/data_kesi2025-09-22.RDS"
"env_ind","index","integer array","14 x 377","knot index","M x N_env: for each weather predictor and period, which of the NP knots the observed value falls in. Row order: wind, waves, lag2..lag6_rain, moisture, heat, lag2..lag6_heat.","yes","1","6","16","data/data_kesi2025-09-22.RDS"
"gdp","earnings","double","87","mean per-capita earnings per two-week period","Total observed earnings per period; row sums of y.","yes","31.92","87.53","135.8","data/data_kesi2025-09-22.RDS"
"N_overlap","dimension","double","1","count","Number of periods with both arrests and survey earnings; not read by any Stan program.","no","87","87","87","data/data_kesi2025-09-22.RDS"
"L","dimension","integer","1","count","Number of years in the timeline (year 1 = 2011).","yes","15","15","15","data/data_kesi2025-09-22.RDS"
"DmatX","distance","integer array","15 x 15","years","L x L distance matrix between years, for the year-effect GP.","yes","0","4","14","data/data_kesi2025-09-22.RDS"
"LP","dimension","double","1","count","Number of two-week periods per year.","yes","26","26","26","data/data_kesi2025-09-22.RDS"
"P1","index","integer","26","period of year","Period-of-year values 1..LP, for the periodic GP.","yes","1","13.5","26","data/data_kesi2025-09-22.RDS"
"DmatM","distance","integer array","12 x 12","months","NM x NM distance matrix between months; not read by any Stan program.","no","0","3.5","11","data/data_kesi2025-09-22.RDS"
"NM","dimension","double","1","count","Number of calendar months.","yes","12","12","12","data/data_kesi2025-09-22.RDS"
"M1","index","integer","12","month","Month values 1..NM; not read by any Stan program.","no","1","6.5","12","data/data_kesi2025-09-22.RDS"
"ramadan","time","double","377","code","1 = period does not overlap Ramadan; 2 = it does.","yes","1","1","2","data/data_kesi2025-09-22.RDS"
"DmatWind","distance","double array","16 x 16","predictor units","NP x NP knot distance matrix for wind; the same matrix appears as a slice of DmatEnv. Not read by any Stan program.","no","0","3.144","9.433","data/data_kesi2025-09-22.RDS"
"wind_ind","index","integer","377","knot index","Knot index per period for wind; the same values appear as a row of env_ind. Not read by any Stan program.","no","3","10","15","data/data_kesi2025-09-22.RDS"
"DmatWaves","distance","double array","16 x 16","predictor units","NP x NP knot distance matrix for waves; the same matrix appears as a slice of DmatEnv. Not read by any Stan program.","no","0","0.7083","2.125","data/data_kesi2025-09-22.RDS"
"waves_ind","index","integer","377","knot index","Knot index per period for waves; the same values appear as a row of env_ind. Not read by any Stan program.","no","2","9","16","data/data_kesi2025-09-22.RDS"
"DmatMoisture","distance","double array","16 x 16","predictor units","NP x NP knot distance matrix for moisture; the same matrix appears as a slice of DmatEnv. Not read by any Stan program.","no","0","2.032","6.096","data/data_kesi2025-09-22.RDS"
"moisture_ind","index","integer","377","knot index","Knot index per period for moisture; the same values appear as a row of env_ind. Not read by any Stan program.","no","1","1","15","data/data_kesi2025-09-22.RDS"
"DmatLagRain2","distance","double array","16 x 16","predictor units","NP x NP knot distance matrix for lag2_rain; the same matrix appears as a slice of DmatEnv. Not read by any Stan program.","no","0","4.006","12.02","data/data_kesi2025-09-22.RDS"
"lag2_rain_ind","index","integer","377","knot index","Knot index per period for lag2_rain; the same values appear as a row of env_ind. Not read by any Stan program.","no","1","1","15","data/data_kesi2025-09-22.RDS"
"DmatLagRain3","distance","double array","16 x 16","predictor units","NP x NP knot distance matrix for lag3_rain; the same matrix appears as a slice of DmatEnv. Not read by any Stan program.","no","0","4.013","12.04","data/data_kesi2025-09-22.RDS"
"lag3_rain_ind","index","integer","377","knot index","Knot index per period for lag3_rain; the same values appear as a row of env_ind. Not read by any Stan program.","no","1","1","15","data/data_kesi2025-09-22.RDS"
"DmatLagRain4","distance","double array","16 x 16","predictor units","NP x NP knot distance matrix for lag4_rain; the same matrix appears as a slice of DmatEnv. Not read by any Stan program.","no","0","4.015","12.05","data/data_kesi2025-09-22.RDS"
"lag4_rain_ind","index","integer","377","knot index","Knot index per period for lag4_rain; the same values appear as a row of env_ind. Not read by any Stan program.","no","1","1","15","data/data_kesi2025-09-22.RDS"
"DmatLagRain5","distance","double array","16 x 16","predictor units","NP x NP knot distance matrix for lag5_rain; the same matrix appears as a slice of DmatEnv. Not read by any Stan program.","no","0","4.015","12.04","data/data_kesi2025-09-22.RDS"
"lag5_rain_ind","index","integer","377","knot index","Knot index per period for lag5_rain; the same values appear as a row of env_ind. Not read by any Stan program.","no","1","1","15","data/data_kesi2025-09-22.RDS"
"DmatLagRain6","distance","double array","16 x 16","predictor units","NP x NP knot distance matrix for lag6_rain; the same matrix appears as a slice of DmatEnv. Not read by any Stan program.","no","0","4.015","12.04","data/data_kesi2025-09-22.RDS"
"lag6_rain_ind","index","integer","377","knot index","Knot index per period for lag6_rain; the same values appear as a row of env_ind. Not read by any Stan program.","no","1","1","15","data/data_kesi2025-09-22.RDS"
"DmatHeat","distance","double array","16 x 16","predictor units","NP x NP knot distance matrix for heat; the same matrix appears as a slice of DmatEnv. Not read by any Stan program.","no","0","2.448","7.343","data/data_kesi2025-09-22.RDS"
"heat_ind","index","integer","377","knot index","Knot index per period for heat; the same values appear as a row of env_ind. Not read by any Stan program.","no","3","8","15","data/data_kesi2025-09-22.RDS"
"DmatLagHeat2","distance","double array","16 x 16","predictor units","NP x NP knot distance matrix for lag2_heat; the same matrix appears as a slice of DmatEnv. Not read by any Stan program.","no","0","2.343","7.029","data/data_kesi2025-09-22.RDS"
"lag2_heat_ind","index","integer","377","knot index","Knot index per period for lag2_heat; the same values appear as a row of env_ind. Not read by any Stan program.","no","3","9","15","data/data_kesi2025-09-22.RDS"
"DmatLagHeat3","distance","double array","16 x 16","predictor units","NP x NP knot distance matrix for lag3_heat; the same matrix appears as a slice of DmatEnv. Not read by any Stan program.","no","0","2.343","7.029","data/data_kesi2025-09-22.RDS"
"lag3_heat_ind","index","integer","377","knot index","Knot index per period for lag3_heat; the same values appear as a row of env_ind. Not read by any Stan program.","no","3","9","15","data/data_kesi2025-09-22.RDS"
"DmatLagHeat4","distance","double array","16 x 16","predictor units","NP x NP knot distance matrix for lag4_heat; the same matrix appears as a slice of DmatEnv. Not read by any Stan program.","no","0","2.343","7.029","data/data_kesi2025-09-22.RDS"
"lag4_heat_ind","index","integer","377","knot index","Knot index per period for lag4_heat; the same values appear as a row of env_ind. Not read by any Stan program.","no","3","9","15","data/data_kesi2025-09-22.RDS"
"DmatLagHeat5","distance","double array","16 x 16","predictor units","NP x NP knot distance matrix for lag5_heat; the same matrix appears as a slice of DmatEnv. Not read by any Stan program.","no","0","2.314","6.941","data/data_kesi2025-09-22.RDS"
"lag5_heat_ind","index","integer","377","knot index","Knot index per period for lag5_heat; the same values appear as a row of env_ind. Not read by any Stan program.","no","3","9","15","data/data_kesi2025-09-22.RDS"
"DmatLagHeat6","distance","double array","16 x 16","predictor units","NP x NP knot distance matrix for lag6_heat; the same matrix appears as a slice of DmatEnv. Not read by any Stan program.","no","0","2.315","6.946","data/data_kesi2025-09-22.RDS"
"lag6_heat_ind","index","integer","377","knot index","Knot index per period for lag6_heat; the same values appear as a row of env_ind. Not read by any Stan program.","no","3","9","15","data/data_kesi2025-09-22.RDS"
"NP","dimension","integer","1","count","Number of Gaussian-process knots per weather variable (percentile bins).","yes","16","16","16","data/data_kesi2025-09-22.RDS"
"DmatEnv","distance","double array","14 x 16 x 16","predictor units","M x NP x NP distance matrices between knots of each weather predictor, for the squared-exponential GPs.","yes","0","2.409","12.05","data/data_kesi2025-09-22.RDS"
"M","dimension","double","1","count","Number of weather predictors of sectoral earnings (rows of env_ind / DmatEnv).","yes","14","14","14","data/data_kesi2025-09-22.RDS"
"DM","dimension","double","1","count","Number of weather predictors with a direct effect on arrests (moisture, heat).","yes","2","2","2","data/data_kesi2025-09-22.RDS"
"DmatDEnv","distance","double array","2 x 16 x 16","predictor units","DM x NP x NP distance matrices for the direct predictors of arrests.","yes","0","2.032","7.343","data/data_kesi2025-09-22.RDS"
"denv_ind","index","integer array","2 x 377","knot index","DM x N_env: knot index per period for the direct predictors of arrests (rows: moisture, heat).","yes","1","5","15","data/data_kesi2025-09-22.RDS"
"CM","dimension","double","1","count","Copy of M; not read by any Stan program.","no","14","14","14","data/data_kesi2025-09-22.RDS"
"scale_gdp","prices","double","377","ratio","All ones; not read by any Stan program.","no","1","1","1","data/data_kesi2025-09-22.RDS"
"scale_cpi","prices","double","377","ratio","Consumer-price deflator per period, 1 at the end of the timeline; imputed earnings are expressed in end-of-timeline prices.","yes","0.538","0.8648","1","data/data_kesi2025-09-22.RDS"
"timber_prices","prices","double","377","index","Timber price series per period, a covariate of the arrest model.","yes","3.094","3.605","4.975","data/data_kesi2025-09-22.RDS"
"softplus_alpha","model","double","1","scalar","Sharpness of the softplus link used for positively constrained parameters.","yes","1","1","1","data/data_kesi2025-09-22.RDS"
"month_means","earnings","double array","12 x 11","same as y","NM x K mean of y by month and sector; not read by any Stan program.","no","1.026","6.877","32.63","data/data_kesi2025-09-22.RDS"
"NV","dimension","integer","1","count","Number of survey questionnaire versions.","yes","5","5","5","data/data_kesi2025-09-22.RDS"
"period","time","integer","377","period of year","Period of the year (1..LP) for each timeline position.","yes","1","13","26","data/data_kesi2025-09-22.RDS"
"period_means","earnings","double array","26 x 11","same as y","LP x K survey-weighted mean of y by period of the year and sector; anchors the periodic term of the imputation.","yes","1","7.1","40.17","data/data_kesi2025-09-22.RDS"
"period_sd","earnings","double array","26 x 11","same as y","LP x K standard deviation of y by period of the year and sector; not read by any Stan program.","no","0.01","2.858","18.22","data/data_kesi2025-09-22.RDS"
"target_var","model","double","1","scalar","Not read by any Stan program.","no","0.05","0.05","0.05","data/data_kesi2025-09-22.RDS"
"gov_adjustments[, 1] housing","official statistics","double matrix column","338 x 1","ratio","Official sector output relative to 2023; not read by any script in this repository.","no","0.5638","  0.7500","1.000e+00","data/gov_adjustments.RDS"
"gov_adjustments[, 2] retail","official statistics","double matrix column","338 x 1","ratio","Official sector output relative to 2023; not read by any script in this repository.","no","0.6126","  0.7178","1.000e+00","data/gov_adjustments.RDS"
"gov_adjustments[, 3] fishing","official statistics","double matrix column","338 x 1","ratio","Official sector output relative to 2023; not read by any script in this repository.","no","0.1385","  0.2752","1.000e+00","data/gov_adjustments.RDS"
"gov_adjustments[, 4] manufactoring","official statistics","double matrix column","338 x 1","ratio","Official sector output relative to 2023; not read by any script in this repository.","no","0.7102","  0.8313","1.024e+00","data/gov_adjustments.RDS"
"gov_adjustments[, 5] agriculture","official statistics","double matrix column","338 x 1","ratio","Official sector output relative to 2023; not read by any script in this repository.","no","0.2648","  0.5550","1.000e+00","data/gov_adjustments.RDS"
"gov_adjustments[, 6] cloves","official statistics","double matrix column","338 x 1","TZS per capita per two-week period","Official Zanzibar clove production times the government purchase price, per capita of Pemba, spread evenly over the two-week periods of each month; 338 periods from January 2011. 3_MAKE rescales it to the survey earnings in the overlap year and substitutes it for the imputed clove earnings.","yes (as clove_hist)","0.0000","954.0000","4.050e+04","data/gov_adjustments.RDS"
"gov_adjustments[, 7] ntfp","official statistics","double matrix column","338 x 1","ratio","Official sector output relative to 2023; not read by any script in this repository.","no","1.0000","  1.2810","1.532e+00","data/gov_adjustments.RDS"
"gov_adjustments[, 8] government","official statistics","double matrix column","338 x 1","ratio","Official sector output relative to 2023; not read by any script in this repository.","no","0.1389","  0.3832","1.000e+00","data/gov_adjustments.RDS"
"gov_adjustments[, 9] agroforestry","official statistics","double matrix column","338 x 1","ratio","Official sector output relative to 2023; not read by any script in this repository.","no","0.9727","  1.1290","1.459e+00","data/gov_adjustments.RDS"
"gov_adjustments[, 10] livestock","official statistics","double matrix column","338 x 1","ratio","Official sector output relative to 2023; not read by any script in this repository.","no","0.1899","  0.3815","1.000e+00","data/gov_adjustments.RDS"
"gov_adjustments[, 11] seaweed","official statistics","double matrix column","338 x 1","ratio","Official sector output relative to 2023; not read by any script in this repository.","no","0.2504","  0.3687","3.674e+05","data/gov_adjustments.RDS"
"gov_adjustments[, 12] services","official statistics","double matrix column","338 x 1","ratio","Official sector output relative to 2023; not read by any script in this repository.","no","0.7831","  0.9468","1.001e+00","data/gov_adjustments.RDS"
